"id","name","odba.start","odba.end","time.odba","odba.mean","vedba.mean","vedba.auc","odba.auc","vo2.start","vo2.end","time.vo2","vo2.mean","type","age","facility","sex","species","id2","date","duration","swim.secs","stroke_rate","mass","types","vo2_mlkg","dmr","sdmr"
"Groucho2014-03-13swim1","Groucho",NA,NA,NA,NA,NA,NA,NA,2016-07-12 16:28:58,2016-07-12 16:32:17,199,4.60970010831138,"swim1",14,"UWW","Male","AFS",NA,NA,NA,0,NA,NA,"swim",NA,Inf,NA
"Groucho2014-03-13swim2","Groucho",NA,NA,NA,NA,NA,NA,NA,2016-07-12 16:33:41,2016-07-12 16:35:39,118,5.55428446399076,"swim2",14,"UWW","Male","AFS",NA,NA,NA,0,NA,NA,"swim",NA,Inf,NA
"Groucho2014-03-22rest","Groucho",NA,NA,NA,NA,NA,NA,NA,2016-07-12 10:24:39,2016-07-12 10:27:23,164,2.23625655848035,"rest",14,"UWW","Male","AFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Groucho2014-03-23rest","Groucho",NA,NA,NA,NA,NA,NA,NA,2016-07-12 09:55:52,2016-07-12 09:57:41,109,1.62718140744849,"rest",14,"UWW","Male","AFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Groucho2014-03-23swim2","Groucho",NA,NA,NA,NA,NA,NA,NA,2016-07-12 10:08:25,2016-07-12 10:09:50,85,5.25058592547895,"swim2",14,"UWW","Male","AFS",NA,NA,NA,0,NA,NA,"swim",NA,Inf,NA
"Groucho2014-03-24rest","Groucho",NA,NA,NA,NA,NA,NA,NA,2016-07-12 17:07:09,2016-07-12 17:09:48,159,2.48238693000229,"rest",14,"UWW","Male","AFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Malie2014-11-15rest","Malie",NA,NA,NA,NA,NA,NA,NA,2016-07-12 10:04:35,2016-07-12 10:11:41,426,1.77169642449633,"rest",12,"Taronga","Male","ASL",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Mav2014-11-15rest","Mav",NA,NA,NA,NA,NA,NA,NA,2016-07-12 09:20:31,2016-07-12 09:22:30,119,1.04738624462966,"rest",13,"Taronga","Male","NZFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Mav2014-11-24rest","Mav",NA,NA,NA,NA,NA,NA,NA,2016-07-12 09:33:17,2016-07-12 09:35:17,120,1.46788823137422,"rest",13,"Taronga","Male","NZFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Maxine2014-10-28swim1","Maxine",NA,NA,NA,NA,NA,NA,NA,2016-07-12 08:29:15,2016-07-12 08:31:10,115,1.23298972491305,"swim1",17,"DMM","Female","ASL",NA,NA,NA,0,NA,NA,"swim",NA,Inf,NA
"Miri2014-10-28rest","Miri",NA,NA,NA,NA,NA,NA,NA,2016-07-12 08:03:24,2016-07-12 08:05:25,121,0.833527616884625,"rest",5,"DMM","Female","ASL",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Ronnie2014-11-15rest","Ronnie",NA,NA,NA,NA,NA,NA,NA,2016-07-12 23:45:30,2016-07-12 23:47:31,121,0.708508890479176,"rest",8,"Taronga","Male","NZFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Sly2014-03-13rest","Sly",NA,NA,NA,NA,NA,NA,NA,2016-07-12 17:07:15,2016-07-12 17:09:19,124,0.91570942526723,"rest",11,"UWW","Male","NZFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Sly2014-03-19rest","Sly",NA,NA,NA,NA,NA,NA,NA,2016-07-12 10:08:46,2016-07-12 10:10:33,107,1.02745052066591,"rest",11,"UWW","Male","NZFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
